platform,nickname,product_name,target_price,url,updated_price,updated_time
Amazon,Fender Player Plus,Fender Player?Telecaster?Electric Guitar - Maple?Fingerboard?- Buttercream,1500.0,https://www.amazon.com/Fender-Player-Telecaster-Electric-Guitar/dp/B07CXJSFTH/,0.0,2022/12/13 20:18:53
GuitarCenter,Fender Player Plus,Fender Player Plus Telecaster Maple Fingerboard Electric Guitar Cosmic Jade,900.4,https://www.guitarcenter.com/Fender/Player-Plus-Telecaster-Maple-Fingerboard-Electric-Guitar-Cosmic-Jade-1500000348456.gc,1099.99,2022/12/13 20:18:53
Thomann,Fender Player Plus,Fender Player Plus Strat Aged CAR,750.0,https://www.thomannmusic.com/fender_player_plus_strat_aged_car.htm,839.0,2022/12/13 20:18:53
Gear4,Fender Player Plus,"Fender Player Plus Telecaster MN, Aged Candy Apple Red",750.0,https://www.gear4music.com/us/en/Guitar-and-Bass/Fender-Player-Plus-Telecaster-MN-Aged-Candy-Apple-Red/3US9,906.0,2022/12/13 20:18:53
Amazon,PRS Santana Retro,PRS McCarty Singlecut 594 Figured Top - Black Gold Burst,3000.0,https://www.amazon.com/PRS-McCarty-Singlecut-594-Figured/dp/B01N319MXL,0.0,2022/12/13 20:18:53
GuitarCenter,PRS Santana Retro,PRS Santana Retro With Santana Pickups and Nickel Hardware Electric Guitar?Aquamarine,3000.0,https://www.guitarcenter.com/PRS/Santana-Retro-with-Santana-Pick-Ups-and-Nickel-Hardware-Electric-Guitar-Aquamarine-1500000314010.gc,4300.0,2022/12/13 20:18:53
Thomann,PRS Santana Retro,PRS Santana Retro 10 Top CC?Jade,3000.0,https://www.thomannmusic.com/prs_santana_retro_10_top_cc_jade.htm,4880.0,2022/12/13 20:18:53
Gear4,PRS Santana Retro,"PRS Santana Retro, Santana Yellow",3000.0,https://www.gear4music.com/us/en/Guitar-and-Bass/PRS-Santana-Retro-Santana-Yellow-0346274/3Z46,4422.0,2022/12/13 20:18:53
Amazon,Fender Player Plus,Fender Player?Telecaster?Electric Guitar - Maple?Fingerboard?- Buttercream,1500.0,https://www.amazon.com/Fender-Player-Telecaster-Electric-Guitar/dp/B07CXJSFTH/,0.0,2022/12/13 20:20:33
GuitarCenter,Fender Player Plus,Fender Player Plus Telecaster Maple Fingerboard Electric Guitar Cosmic Jade,900.4,https://www.guitarcenter.com/Fender/Player-Plus-Telecaster-Maple-Fingerboard-Electric-Guitar-Cosmic-Jade-1500000348456.gc,1099.99,2022/12/13 20:20:33
Thomann,Fender Player Plus,Fender Player Plus Strat Aged CAR,750.0,https://www.thomannmusic.com/fender_player_plus_strat_aged_car.htm,839.0,2022/12/13 20:20:33
Gear4,Fender Player Plus,"Fender Player Plus Telecaster MN, Aged Candy Apple Red",750.0,https://www.gear4music.com/us/en/Guitar-and-Bass/Fender-Player-Plus-Telecaster-MN-Aged-Candy-Apple-Red/3US9,906.0,2022/12/13 20:20:33
Amazon,PRS Santana Retro,PRS McCarty Singlecut 594 Figured Top - Black Gold Burst,3000.0,https://www.amazon.com/PRS-McCarty-Singlecut-594-Figured/dp/B01N319MXL,0.0,2022/12/13 20:20:33
GuitarCenter,PRS Santana Retro,PRS Santana Retro With Santana Pickups and Nickel Hardware Electric Guitar?Aquamarine,3000.0,https://www.guitarcenter.com/PRS/Santana-Retro-with-Santana-Pick-Ups-and-Nickel-Hardware-Electric-Guitar-Aquamarine-1500000314010.gc,4300.0,2022/12/13 20:20:33
Thomann,PRS Santana Retro,PRS Santana Retro 10 Top CC?Jade,3000.0,https://www.thomannmusic.com/prs_santana_retro_10_top_cc_jade.htm,4880.0,2022/12/13 20:20:33
Gear4,PRS Santana Retro,"PRS Santana Retro, Santana Yellow",3000.0,https://www.gear4music.com/us/en/Guitar-and-Bass/PRS-Santana-Retro-Santana-Yellow-0346274/3Z46,4422.0,2022/12/13 20:20:33
Amazon,Fender Player Plus,Fender Player?Telecaster?Electric Guitar - Maple?Fingerboard?- Buttercream,1500.0,https://www.amazon.com/Fender-Player-Telecaster-Electric-Guitar/dp/B07CXJSFTH/,0.0,2022/12/13 20:30:06
GuitarCenter,Fender Player Plus,Fender Player Plus Telecaster Maple Fingerboard Electric Guitar Cosmic Jade,900.4,https://www.guitarcenter.com/Fender/Player-Plus-Telecaster-Maple-Fingerboard-Electric-Guitar-Cosmic-Jade-1500000348456.gc,1099.99,2022/12/13 20:30:06
Thomann,Fender Player Plus,Fender Player Plus Strat Aged CAR,750.0,https://www.thomannmusic.com/fender_player_plus_strat_aged_car.htm,839.0,2022/12/13 20:30:06
Gear4,Fender Player Plus,"Fender Player Plus Telecaster MN, Aged Candy Apple Red",750.0,https://www.gear4music.com/us/en/Guitar-and-Bass/Fender-Player-Plus-Telecaster-MN-Aged-Candy-Apple-Red/3US9,906.0,2022/12/13 20:30:06
Amazon,PRS Santana Retro,PRS McCarty Singlecut 594 Figured Top - Black Gold Burst,3000.0,https://www.amazon.com/PRS-McCarty-Singlecut-594-Figured/dp/B01N319MXL,0.0,2022/12/13 20:30:06
GuitarCenter,PRS Santana Retro,PRS Santana Retro With Santana Pickups and Nickel Hardware Electric Guitar?Aquamarine,3000.0,https://www.guitarcenter.com/PRS/Santana-Retro-with-Santana-Pick-Ups-and-Nickel-Hardware-Electric-Guitar-Aquamarine-1500000314010.gc,4300.0,2022/12/13 20:30:06
Thomann,PRS Santana Retro,PRS Santana Retro 10 Top CC?Jade,3000.0,https://www.thomannmusic.com/prs_santana_retro_10_top_cc_jade.htm,4880.0,2022/12/13 20:30:06
Gear4,PRS Santana Retro,"PRS Santana Retro, Santana Yellow",3000.0,https://www.gear4music.com/us/en/Guitar-and-Bass/PRS-Santana-Retro-Santana-Yellow-0346274/3Z46,4422.0,2022/12/13 20:30:06
